,profile_id,comments,likes,quotes,retweets,year,month,day,text,sentiment_polarity,sentiment
0,1712776952593924096,3,5,0,1,2023,10,16,difference war v genocide israel killed day child gaza according un russia killed child day difference rate russia per day israel per day palestinegenocide isrealpalestineconflict,-0.2,Negative
1,1712776952593924096,0,0,0,0,2023,10,16,brave palestinian lady documenting ongoing war crime committed israel gaza including usage white phosphorus hamasterrorist hamas israelpalestineconflict gazzeunderattack palestinegenocide,0.4,Positive
2,1712776952593924096,1,1,0,0,2023,10,16,child palestine say happened family criminal zionist entity killed beaten gazzeunderattack isarael palastine palestinegenocide gazacity,-0.30000000000000004,Negative
3,1712776952593924096,0,2,0,0,2023,10,16,devastation caused earthquake israel caused devastation israel killed many innocent including child woman made lakh people homeless gazagenocide gazzeunderattack freepalestinenow palestinegenocide gaza,0.26666666666666666,Positive
4,1712776952593924096,0,0,0,1,2023,10,16,breaking israeli warplane continuously bombing several neighbourhood gaza three hour palestinegenocide palastine freepalestine freegaza gazzeunderattack gaza gazagenocide freepalaestine,0.0,Neutral
5,1712776952593924096,0,2,0,0,2023,10,16,israeli army firing flare alshifa hospital gaza aggressive airstrikes ongoing incident involving death seven paramedic palestinegenocide gazagenocide,0.0,Neutral
6,1712776952593924096,0,1,0,0,2023,10,16,momin kireika lost leg due israeli attack palestinian journalist who reporting israel atrocity gaza hamasterrorist hamas israelpalestineconflict palestinegenocide,-0.125,Negative
7,1712776952593924096,0,1,0,0,2023,10,16,must see recent satellite footage reveals extensive damage gaza following heavy bombardment israel hamasterrorist hamas israelpalestineconflict palestinegenocide,-0.05,Negative
8,1712776952593924096,0,0,1,0,2023,10,16,britishpalestinian little girl stuck gaza im year old dont wanna die want live im left heartbroken zionist atrocity hamasterrorist hamas israelpalestineconflict palestinegenoci,0.01221590909090909,Positive
9,1712776952593924096,1,0,0,0,2023,10,16,breaking huge protest downtown dallas texas solidarity palestine israelfightsback idf israelpalestineconflict israelunderattack hamasterrorist israel palestinegenocide gazacity gazzeunderattack hamasiisis,0.4000000000000001,Positive
10,1712776952593924096,0,1,0,0,2023,10,15,israel occupation force treat palestinian child israelpalestineconflict palestine genocidepalestine gazaunderattack,0.0,Neutral
11,1712776952593924096,0,3,0,1,2023,10,15,latest thousand israel soldier deployed gaza border ground operation israel gaza israelpalestineconflict hamas indvspak gazagenocide israelterrorists hamas isarael gazzeunderattack,0.5,Positive
12,1712776952593924096,0,1,0,0,2023,10,15,palestine another palestinian child lost parent israeli air strike gaza today israel gazzeunderattack palastine,0.0,Neutral
13,1712776952593924096,0,0,0,1,2023,10,15,u state department allowed nonessential embassy staff family leave israel israelpalestineconflict israel israelfightsback,0.0,Neutral
14,1712776952593924096,0,0,0,0,2023,10,15,breaking report ongoing intimidation campaign berlin targeting jew people marking house jew live jewishowned store star david israelpalestineconflict gazzeunderattack israelfightsback,0.13636363636363635,Positive
15,1712776952593924096,0,0,0,0,2023,10,15,russian helicopter accidentally fire rocket observer,0.0,Neutral
16,1712776952593924096,0,1,0,0,2023,10,15,breaking hamas sends video message israeli force stating awaits enter gaza source hamas official website gazzeunderattack hamasterrorist israelpalestineconflict israel israelfightsback,0.0,Neutral
17,1712776952593924096,0,0,0,0,2023,10,15,continue make every effort find every detail missing hostage said idf spokesman rear adm daniel hagari estimate people taken hostage hamas murderous attack last saturday time israel,-0.1,Negative
18,1712776952593924096,1,0,0,0,2023,10,15,idf say troop killed number terrorist area including hamas cell launched antitank guided missile israel troop enter deep gaza,-0.1,Negative
19,1712776952593924096,1,0,0,0,2023,10,15,israel defense force say infantry force tank entered gaza strip territory today localized raid order clear area potential terrorist locate missing israeli gazzeunderattack israelpalestineconflict hamasterrorist,-0.03333333333333333,Negative
20,1712776952593924096,0,0,0,0,2023,10,15,antiisrael protest london today huge according police people street gazzeunderattack hamasterrorist israelpalestineconflict,0.4000000000000001,Positive
21,1712776952593924096,1,2,0,2,2023,10,15,breaking palestinian child talk brother death heartbreaking gaza gazaunderattack hamas palastine palestine palestinelivesmatter palestinegenocide israel isarael israelpalestineconflict,0.0,Neutral
22,1712776952593924096,0,1,0,1,2023,10,13,gaza health ministry said israel airstrikes killed palestinian injured israelpalestinewar israelpalestineconflict israelfightsback,-0.2,Negative
23,1712776952593924096,0,1,0,0,2023,10,13,palestinian gaza charging phone using car battery result second consecutive day power internet outage freepalestine israelpalestineconflict israelpalestinewar,0.0,Neutral
24,1712776952593924096,0,1,0,0,2023,10,13,bild show footage idf work israeli military regained control one israeli base seized terrorist isarael hamasterrorist israelpalestineconflict israelpalestinewar,-0.45,Negative
